id,sex,employment,married,income,digital2
1,M,employed,0,29758,0
2,F,retired,1,6140,0
3,F,employed,1,27186,.0081394995
4,M,employed,1,8429,.62456977
5,M,retired,1,2820,.097230077
6,M,student,0,0,.91853422
7,M,employed,1,42269,.52746791
8,M,unemployed,1,0,0
9,F,unemployed,0,26131,.71976745
10,M,employed,1,7003,.7451607
11,M,employed,1,8359,.32607254
12,M,unemployed,0,0,0
13,M,employed,1,26580,.78772622
14,M,employed,1,8563,.30292898
15,F,employed,0,28934,.84699303
16,M,employed,1,14529,.6123957
17,M,retired,0,45612,.087604001
18,F,employed,1,5855,0
19,F,student,0,12608,.97354966
20,M,employed,0,16024,.2565411
21,M,retired,0,53474,.34222287
22,M,employed,1,12628,.27157086
23,M,employed,1,29819,.19648767
24,F,employed,1,8104,.82927364
25,F,retired,1,2396,.16752663
26,M,unemployed,1,0,.62345445
27,M,unemployed,0,6001,.68309247
28,F,employed,1,24565,.38251251
29,M,student,1,6234,.48178512
30,F,retired,0,3430,.29621702
31,M,unemployed,0,0,.069468863
32,F,employed,0,9983,.23851107
33,F,employed,0,9532,0
34,M,retired,1,12794,0
35,M,employed,0,6069,.58590192
36,M,unemployed,1,0,.56101668
37,F,student,1,0,.25863802
38,F,employed,0,17592,.59475565
39,M,employed,1,8581,.87654489
40,M,employed,1,6543,.61513954
41,M,student,0,0,.85027695
42,M,employed,0,9977,.86784256
43,M,employed,1,8806,.70632446
44,M,employed,1,8300,.16802412
45,M,employed,1,14234,0
46,M,unemployed,1,14361,.98991448
47,F,retired,1,3278,0
48,M,retired,0,4795,.084788494
49,M,student,0,0,.75410879
50,M,employed,1,29012,.74413186
51,M,employed,1,10743,0
52,F,unemployed,1,0,.4332577
53,M,employed,1,13880,.50258976
54,F,employed,0,12708,0
55,M,employed,0,27988,.57545197
56,M,employed,1,7392,.66856128
57,M,retired,0,5432,0
58,M,employed,0,9706,.22475092
59,M,employed,1,12492,.6245082
60,F,retired,0,6480,0
61,M,retired,0,6171,.25474241
62,F,employed,0,80829,0
63,M,student,0,0,.84290463
64,F,unemployed,0,19924,.74661976
65,M,employed,1,8776,.66556895
66,F,employed,1,9057,.61255121
67,F,employed,1,15288,.53643394
68,M,employed,1,7900,.64279485
69,M,employed,1,48064,.51587701
70,M,employed,1,7382,.62299412
71,M,employed,0,19553,0
72,F,employed,1,16795,.23488627
73,F,employed,1,6455,.60890383
74,M,unemployed,1,21907,0
75,F,unemployed,1,0,0
76,M,student,0,43162,.98583579
77,F,unemployed,1,0,.83541626
78,M,employed,1,18910,.34225053
79,F,student,0,0,.86304826
80,M,employed,1,8946,.10062104
81,M,employed,1,7744,.54442412
82,M,employed,1,9844,.54902703
83,F,student,0,3584,.87420243
84,M,student,0,0,.28819454
85,M,employed,1,8840,.11302295
86,M,employed,0,9260,0
87,F,employed,1,11132,0
88,M,employed,1,17193,.58381754
89,M,unemployed,1,0,.7581225
90,F,employed,1,6762,.090394109
91,F,unemployed,1,0,0
92,F,retired,1,2375,0
93,M,employed,0,9945,.035638515
94,F,student,0,0,.59480065
95,M,employed,1,11125,.96036232
96,F,student,0,0,.56045568
97,M,unemployed,0,42052,0
98,F,employed,0,26744,.3492842
99,M,student,0,4841,.86860323
100,F,employed,1,139120,.60825461
101,M,retired,0,5212,0
102,M,unemployed,1,0,.62951636
103,F,retired,1,28748,.21494925
104,F,employed,0,37938,0
105,F,employed,1,4697,.95780158
106,F,employed,0,9508,0
107,F,unemployed,0,8918,.55986655
108,M,student,0,3903,.86344182
109,M,employed,1,6341,.0098030232
110,F,unemployed,1,0,.29543078
111,F,employed,1,58159,.65245795
112,F,employed,1,7495,.41290468
113,M,student,0,8553,.046879888
114,F,unemployed,0,21331,.57675707
115,M,employed,1,20513,0
116,F,employed,1,19768,0
117,M,employed,1,5183,.046278041
118,M,employed,1,15741,.65301698
119,F,employed,1,17603,.79243827
120,F,employed,0,5243,.67898214
121,M,employed,0,10984,.52666324
122,M,retired,0,13375,.24725203
123,F,employed,1,11968,.96234465
124,M,employed,1,74817,.52240223
