id,interest_rate
100001,0.20797842741012573
100002,0.12982390820980072
100003,0.1141369566321373
100004,0.04650507867336273
100005,0.0862252414226532
100006,0.058697283267974854
100007,
100008,0.10688276588916779
100009,0.09095117449760437
100010,0.10128975659608841
100011,0.09989392012357712
100012,0.1341720074415207
100013,0.18068993091583252
100014,0.1971997171640396
100015,0.051751308143138885
100016,0.12735536694526672
100017,0.09089817851781845
100018,0.10840370506048203
100019,
100020,
100021,0.08953037858009338
100022,0.04338640719652176
100023,0.20128583908081055
100024,
100025,0.04111825302243233
100026,0.04456298053264618
100027,
100028,0.10567700117826462
100029,0.051318392157554626
100030,
100031,0.04552081972360611
100032,
100033,
100034,0.12711921334266663
100035,0.05150715261697769
100036,0.05595135688781738
100037,
100038,
100039,0.12125984579324722
100040,
100041,
100042,0.13235582411289215
100043,
100044,0.046998023986816406
100045,0.09934515506029129
100046,0.05800485610961914
100047,
100048,0.09442146122455597
100049,0.06062968820333481
100050,0.054792746901512146
100051,
100052,0.10859866440296173
100053,0.2154371738433838
100054,0.22617937624454498
100055,
100056,0.11364112049341202
100057,0.0482865646481514
100058,0.04090769588947296
100059,
100060,
100061,0.21069499850273132
100062,0.12792129814624786
100063,0.10252279788255692
100064,0.19532999396324158
100065,0.04816177487373352
100066,0.04302137345075607
100067,0.061644747853279114
100068,0.060778796672821045
100069,
100070,
100071,0.2031097263097763
100072,0.04185248166322708
100073,
100074,
100075,0.13312402367591858
100076,
100077,0.10769469290971756
100078,
100079,
100080,0.09322433918714523
100081,0.18204037845134735
100082,
100083,0.10942205041646957
100084,0.09337542206048965
100085,
100086,0.20171129703521729
100087,0.10219398140907288
100088,
100089,
100090,
100091,0.1011844202876091
100092,0.056690603494644165
100093,
100094,0.041342154145240784
100095,0.05954965949058533
100096,0.1838739514350891
100097,0.09594845771789551
100098,0.08272649347782135
100099,0.09069599956274033
100100,0.1794305443763733
100101,0.22334405779838562
100102,0.17992748320102692
100103,0.1992676705121994
100104,
100105,0.09620072692632675
100106,
100107,
100108,
100109,0.18091757595539093
100110,
100111,0.19827258586883545
100112,0.1838739514350891
100113,0.09925567358732224
100114,0.05678877979516983
100115,0.13544213771820068
100116,0.1992424726486206
100117,0.055964335799217224
100118,
100119,0.22540204226970673
100120,0.22951622307300568
100121,0.20059578120708466
100122,0.17323167622089386
100123,0.11633143573999405
100124,0.10528016835451126
100125,0.043353691697120667
100126,
100127,
100128,0.06258190423250198
100129,0.11832199990749359
100130,0.0914197489619255
100131,
100132,0.10957236588001251
100133,0.04303841292858124
100134,
100135,0.2085990309715271
100136,
100137,0.10530868172645569
100138,0.12036304175853729
100139,0.05436081439256668
100140,0.057155728340148926
100141,0.06253774464130402
100142,0.04749473184347153
100143,0.22052761912345886
100144,
100145,
100146,
100147,0.12370029091835022
100148,0.1361112892627716
100149,0.19654856622219086
100150,0.055974461138248444
100151,0.05735882371664047
100152,
100153,0.040728598833084106
100154,0.1344471126794815
100155,0.05703424662351608
100156,
100157,0.21141570806503296
100158,0.18119056522846222
100159,0.05716504901647568
100160,
100161,0.09184011071920395
100162,0.23416468501091003
100163,0.21376076340675354
100164,
100165,0.04393884539604187
100166,0.0901976153254509
100167,0.12607108056545258
100168,0.1032702848315239
100169,0.08307775110006332
100170,0.12554852664470673
100171,
100172,0.1397811323404312
100173,0.2190466970205307
100174,0.043624453246593475
100175,
100176,0.09705501794815063
100177,
100178,0.08965160697698593
100179,0.12059687823057175
100180,0.10556086897850037
100181,
100182,0.08616618812084198
100183,0.11329440027475357
100184,0.04433199763298035
100185,
100186,
100187,0.043843820691108704
100188,
100189,0.2147999256849289
100190,0.20389342308044434
100191,
100192,0.13055582344532013
100193,0.11089877784252167
100194,
100195,0.05435282737016678
100196,0.20026251673698425
100197,0.18551333248615265
100198,0.18636448681354523
100199,
100200,0.18767961859703064
100201,0.05142897367477417
100202,0.0902407169342041
100203,0.040568359196186066
100204,0.20445582270622253
100205,0.04183284938335419
100206,
100207,0.048176109790802
100208,0.09220238775014877
100209,
100210,
100211,0.04046298563480377
100212,0.21112920343875885
100213,0.22537855803966522
100214,0.13549332320690155
100215,
100216,
100217,0.09203542023897171
100218,0.19461655616760254
100219,
100220,
100221,0.19550587236881256
100222,
100223,0.1269204467535019
100224,0.06128773093223572
100225,0.09372467547655106
100226,
100227,0.11851134896278381
100228,
100229,0.08778679370880127
100230,0.056594692170619965
100231,0.19015580415725708
100232,0.22816157341003418
100233,
100234,0.10599809139966965
100235,
100236,0.09016311913728714
100237,0.061152100563049316
100238,0.18036969006061554
100239,
100240,0.22066162526607513
100241,0.3923739194869995
100242,0.10414941608905792
100243,0.12427940964698792
100244,0.11664244532585144
100245,
100246,
100247,0.14045840501785278
100248,0.104422926902771
100249,
100250,0.17443609237670898
100251,
100252,0.1746397614479065
100253,
100254,0.08934277296066284
100255,
100256,0.08434899151325226
100257,0.22578060626983643
100258,0.05781944841146469
100259,0.18596798181533813
100260,
100261,0.12417948991060257
100262,0.08759267628192902
100263,0.040432535111904144
100264,0.20674465596675873
100265,0.2208617776632309
100266,0.12569279968738556
100267,0.1902393102645874
100268,
100269,0.056016452610492706
100270,
100271,0.05403725802898407
100272,0.08664042502641678
100273,0.13835938274860382
100274,0.05983138829469681
100275,0.2194804698228836
100276,0.21081304550170898
100277,0.05335967242717743
100278,0.17155016958713531
100279,
100280,0.08995343744754791
100281,
100282,0.06220763176679611
100283,0.04294522851705551
100284,0.19368191063404083
100285,0.19286979734897614
100286,0.2206585705280304
100287,
100288,0.05750436335802078
100289,
100290,0.1186407282948494
100291,0.09403914958238602
100292,
100293,0.1410163789987564
100294,0.1400591880083084
100295,
100296,0.22816157341003418
100297,0.18011224269866943
100298,0.04388630390167236
100299,0.22511853277683258
100300,
100301,0.17292407155036926
100302,
100303,0.09807486087083817
100304,0.05809265375137329
100305,0.053716205060482025
100306,0.1081567108631134
100307,0.11022882163524628
100308,0.14064782857894897
100309,
100310,
100311,0.20309293270111084
100312,0.04456298053264618
100313,0.09203597903251648
100314,0.118898905813694
100315,
100316,0.10132678598165512
100317,
100318,0.09579630941152573
100319,0.0964014083147049
100320,0.043624453246593475
100321,0.13907524943351746
100322,0.21791617572307587
100323,0.21879646182060242
100324,0.08756224066019058
100325,0.11095105856657028
100326,0.095343679189682
100327,0.09343289583921432
100328,0.11838982999324799
100329,0.09262057393789291
100330,
100331,0.11392136663198471
100332,
100333,
100334,0.08696652948856354
100335,0.21514083445072174
100336,
100337,0.042732372879981995
100338,0.21514083445072174
100339,0.05655502527952194
100340,
100341,0.041812606155872345
100342,0.1721370667219162
100343,0.04552081972360611
100344,
100345,0.08480965346097946
100346,
100347,
100348,0.12598493695259094
100349,
100350,0.18477657437324524
100351,0.2134781777858734
100352,
100353,0.09194319695234299
100354,0.09729398787021637
100355,
100356,0.052466847002506256
100357,0.10704335570335388
100358,0.09598498046398163
100359,0.1950932890176773
100360,0.08906959742307663
100361,0.12513476610183716
100362,0.10248591750860214
100363,0.20357774198055267
100364,
100365,
100366,0.09318524599075317
100367,
100368,0.12728694081306458
100369,0.2421739548444748
100370,
100371,
100372,0.04406454414129257
100373,
100374,0.13449764251708984
100375,
100376,
100377,0.09816326946020126
100378,0.04163695126771927
100379,0.05580233037471771
100380,0.06243062764406204
100381,0.10056447237730026
100382,
100383,0.21416394412517548
100384,0.19943904876708984
100385,0.11078617721796036
100386,0.04676862806081772
100387,0.12128417193889618
100388,
100389,0.1978893131017685
100390,
100391,0.18604162335395813
100392,0.09144727140665054
100393,0.11338311433792114
100394,0.05581503361463547
100395,
100396,0.0846320390701294
100397,0.09271776676177979
100398,
100399,0.22618193924427032
100400,0.11700591444969177
100401,0.05802477151155472
100402,0.055712662637233734
100403,0.10760699212551117
100404,
100405,0.06073152273893356
100406,0.10126722604036331
100407,
100408,
100409,0.12588460743427277
100410,
100411,0.047372005879879
100412,0.04870324581861496
100413,
100414,
100415,0.06258190423250198
100416,0.10675889253616333
100417,0.06190559267997742
100418,0.11814914643764496
100419,0.2356044501066208
100420,
100421,0.10205478221178055
100422,0.17806850373744965
100423,0.09822201728820801
100424,
100425,0.21525372564792633
100426,0.12024044990539551
100427,
100428,0.2190466970205307
100429,0.20927858352661133
100430,0.21549633145332336
100431,
100432,
100433,
100434,0.06224128603935242
100435,0.1950584203004837
100436,0.11133836209774017
100437,0.21594290435314178
100438,0.05930250138044357
100439,0.18672838807106018
100440,
100441,0.17981763184070587
100442,0.10480625182390213
100443,
100444,0.18123799562454224
100445,0.09521645307540894
100446,0.1804189383983612
100447,0.19507142901420593
100448,
100449,
100450,0.12266857177019119
100451,
100452,0.19807030260562897
100453,0.18633317947387695
100454,0.13656578958034515
100455,0.12146159261465073
100456,0.20227494835853577
100457,0.08943800628185272
100458,0.05946110188961029
100459,0.21549633145332336
100460,0.12666043639183044
100461,
100462,
100463,0.19886334240436554
100464,
100465,0.11067897081375122
100466,0.23634448647499084
100467,0.13413378596305847
100468,0.21180576086044312
100469,0.056551240384578705
100470,
100471,0.06084446609020233
100472,
100473,0.09022962301969528
100474,0.05929052084684372
100475,0.08453506976366043
100476,0.044938795268535614
100477,0.20931126177310944
100478,0.04213060438632965
100479,0.10502765327692032
100480,
100481,
100482,
100483,0.08660029619932175
100484,0.06112039089202881
100485,0.2240806519985199
100486,0.04185103625059128
100487,
100488,0.215715691447258
100489,0.09267107397317886
100490,0.20606307685375214
100491,
100492,0.2059059739112854
100493,0.2122642546892166
100494,0.09196868538856506
100495,
100496,
100497,0.061097651720047
100498,0.12574943900108337
100499,0.1943187266588211
100500,0.2190466970205307
100501,0.2149389088153839
100502,0.10193706303834915
100503,0.0929483100771904
100504,0.1155383288860321
100505,0.24569948017597198
100506,0.17243148386478424
100507,0.09275277704000473
100508,0.17312438786029816
100509,0.19890820980072021
100510,0.18805143237113953
100511,0.253385066986084
100512,0.1274292916059494
100513,0.06263008713722229
100514,
100515,0.11176078766584396
100516,0.1823374480009079
100517,0.08482199162244797
100518,0.11724989861249924
100519,0.18431156873703003
100520,0.08938268572092056
100521,0.05479852110147476
100522,0.04126230627298355
100523,0.2149389088153839
100524,
100525,0.08299893140792847
100526,0.10350580513477325
100527,0.09274659305810928
100528,0.08445263653993607
100529,0.17620284855365753
100530,0.09450682997703552
100531,
100532,0.19606804847717285
100533,0.23893952369689941
100534,0.10747811943292618
100535,0.20701707899570465
100536,0.20064426958560944
100537,0.059179894626140594
100538,0.11344116181135178
100539,0.08533217757940292
100540,0.20037150382995605
100541,0.06173726171255112
100542,0.05694609880447388
100543,
100544,0.09103238582611084
100545,0.20797842741012573
100546,
100547,0.09851767122745514
100548,0.20009802281856537
100549,0.08411863446235657
100550,0.18466350436210632
100551,0.11551124602556229
100552,0.09291153401136398
100553,
100554,0.1262805312871933
100555,
100556,
100557,0.1002359464764595
100558,0.17194654047489166
100559,0.04744981974363327
100560,0.12143880128860474
100561,
100562,0.09156281501054764
100563,0.21908649802207947
100564,
100565,0.2235320657491684
100566,
100567,
100568,0.044528380036354065
100569,0.043187014758586884
100570,
100571,0.08925513923168182
100572,
100573,0.05486529320478439
100574,
100575,0.04567036032676697
100576,0.21801604330539703
100577,0.21967540681362152
100578,
100579,
100580,0.09055901318788528
100581,0.19030579924583435
100582,0.059973277151584625
100583,0.17973390221595764
100584,0.1083431988954544
100585,0.05531515181064606
100586,0.08695461601018906
100587,0.17844723165035248
100588,
100589,0.2316540777683258
100590,0.21416394412517548
100591,
100592,0.0857972651720047
100593,0.056434936821460724
100594,0.0588192492723465
100595,0.12958161532878876
100596,0.19910749793052673
100597,
100598,
100599,0.12304726988077164
100600,0.20592951774597168
100601,0.04124657064676285
100602,0.12154468894004822
100603,0.04661385715007782
100604,0.05992741137742996
100605,
100606,
100607,0.17453137040138245
100608,0.2362077683210373
100609,0.12206964939832687
100610,0.21343719959259033
100611,0.12448887526988983
100612,0.09070529043674469
100613,0.20048215985298157
100614,0.21146002411842346
100615,
100616,0.23156382143497467
100617,0.08597008138895035
100618,0.050146184861660004
100619,
100620,0.058022238314151764
100621,0.04120446369051933
100622,0.10350580513477325
100623,0.3001471757888794
100624,
100625,0.11000316590070724
100626,
100627,
100628,0.04263554513454437
100629,0.0936422124505043
100630,0.04141581058502197
100631,0.20993182063102722
100632,0.18132750689983368
100633,
100634,0.05558156967163086
100635,
100636,0.04564547538757324
100637,0.10022769868373871
100638,
100639,0.04145348072052002
100640,0.11866798251867294
100641,
100642,
100643,0.10711453855037689
100644,
100645,0.06251797825098038
100646,0.18211780488491058
100647,
100648,0.18168699741363525
100649,0.05769224464893341
100650,
100651,0.2085120677947998
100652,0.20580732822418213
100653,
100654,0.17991192638874054
100655,0.04552081972360611
100656,0.19605423510074615
100657,0.04467640072107315
100658,0.09387938678264618
100659,
100660,
100661,0.08837629854679108
100662,0.10454396903514862
100663,0.1980939507484436
100664,0.08614685386419296
100665,
100666,
100667,0.0430012121796608
100668,
100669,0.1908096820116043
100670,0.08893280476331711
100671,
100672,0.09910797327756882
100673,0.13867615163326263
100674,0.17621096968650818
100675,0.062091849744319916
100676,0.13569512963294983
100677,0.044944293797016144
100678,0.0983869656920433
100679,0.21787941455841064
100680,0.13195760548114777
100681,0.09350951761007309
100682,0.09689238667488098
100683,0.05653849244117737
100684,
100685,0.04454691708087921
100686,0.13155868649482727
100687,0.21548478305339813
100688,
100689,0.2390373945236206
100690,
100691,0.13575361669063568
100692,0.05531114339828491
100693,
100694,0.11688533425331116
100695,0.12599967420101166
100696,
100697,
100698,
100699,
100700,0.2045254111289978
100701,0.18649707734584808
100702,
100703,
100704,0.19210809469223022
100705,
100706,0.09109611064195633
100707,0.1200256422162056
100708,0.1095120906829834
100709,0.041754744946956635
100710,0.09231791645288467
100711,
100712,0.2271057814359665
100713,0.20637989044189453
100714,0.2155427783727646
100715,
100716,0.12056638300418854
100717,
100718,0.09157348424196243
100719,
100720,0.12068602442741394
100721,
100722,
100723,0.08944175392389297
100724,0.10044161975383759
100725,
100726,0.215715691447258
100727,0.09843955188989639
100728,0.12151654064655304
100729,
100730,0.20184671878814697
100731,0.10292268544435501
100732,0.21967540681362152
100733,0.04065161198377609
100734,0.09132277965545654
100735,
100736,0.17253144085407257
100737,0.20037150382995605
100738,0.1990487426519394
100739,0.12757888436317444
100740,0.09498438984155655
100741,0.09896635264158249
100742,0.13830377161502838
100743,0.2154371738433838
100744,0.1361701786518097
100745,0.04692639410495758
100746,0.04183284938335419
100747,0.09012424200773239
100748,0.12079216539859772
100749,
100750,0.12388689815998077
100751,0.04411213845014572
100752,0.08544154465198517
100753,0.09631738066673279
100754,
100755,
100756,0.041475556790828705
100757,0.04153657704591751
100758,0.102348692715168
100759,0.09552335739135742
100760,
100761,0.06219051033258438
100762,
100763,0.05782252550125122
100764,0.13154084980487823
100765,0.2408263385295868
100766,0.08708170056343079
100767,0.19687455892562866
100768,0.20733550190925598
100769,
100770,
100771,0.11096761375665665
100772,0.04211703687906265
100773,
100774,
100775,0.10606631636619568
100776,0.05355958640575409
100777,
100778,
100779,0.20378771424293518
100780,0.10323736816644669
100781,0.09219086915254593
100782,0.21775546669960022
100783,0.060214318335056305
100784,
100785,0.21967540681362152
100786,
100787,0.1373162865638733
100788,
100789,0.08937396109104156
100790,0.08954812586307526
100791,0.2230955809354782
100792,
100793,0.21394340693950653
100794,0.04145348072052002
100795,
100796,0.05932840704917908
100797,0.17256559431552887
100798,0.04176953434944153
100799,
100800,
100801,
100802,0.056445226073265076
100803,0.2161681354045868
100804,0.043261654675006866
100805,0.10371429473161697
100806,0.0941745862364769
100807,0.11473581939935684
100808,0.2113596349954605
100809,0.39931756258010864
100810,0.0928252711892128
100811,
100812,0.0868704542517662
100813,0.13362011313438416
100814,
100815,0.08880740404129028
100816,
100817,0.20812731981277466
100818,0.2149239480495453
100819,0.20010952651500702
100820,0.1933688223361969
100821,0.10773206502199173
100822,0.08324137330055237
100823,0.12322520464658737
100824,0.1970856785774231
100825,0.12062572687864304
100826,0.21251846849918365
100827,0.04176034778356552
100828,0.08383431285619736
100829,0.11396243423223495
100830,
100831,0.14057081937789917
100832,0.12409672886133194
100833,
100834,0.1138063594698906
100835,
100836,0.11275807023048401
100837,
100838,
100839,0.041673384606838226
100840,0.12727369368076324
100841,0.23671139776706696
100842,0.23431332409381866
100843,0.21062599122524261
100844,
100845,0.09695946425199509
100846,0.19507142901420593
100847,0.08979678153991699
100848,0.10479286313056946
100849,0.0993778184056282
100850,
100851,0.06201772391796112
100852,0.1228167787194252
100853,0.04393884539604187
100854,0.055080510675907135
100855,0.12515363097190857
100856,0.13815420866012573
100857,0.09213970601558685
100858,
100859,0.20797842741012573
100860,0.09469883888959885
100861,
100862,0.17848175764083862
100863,0.08347037434577942
100864,0.04139067232608795
100865,0.11067497730255127
100866,0.10118221491575241
100867,0.09078296273946762
100868,0.20011965930461884
100869,0.08435246348381042
100870,0.08824900537729263
100871,0.18461096286773682
100872,0.041196443140506744
100873,0.20587614178657532
100874,
100875,0.10970453917980194
100876,0.17341311275959015
100877,0.04567036032676697
100878,0.09749336540699005
100879,0.17970293760299683
100880,
100881,0.05346933752298355
100882,0.2205427885055542
100883,0.08504214882850647
100884,
100885,0.1728992611169815
100886,0.04108195751905441
100887,0.17991192638874054
100888,0.11545095592737198
100889,
