applicant_id,interest_rate
1,0.013319842
2,0.15004669
3,0.17806892
4,0.13257407
5,0.28446975
6,0.19735344
7,0.0049627884
8,0.3267134
9,0.0032334097
10,0.1355741
11,0.121555775
12,0.339165
13,0.014263792
14,0.1475744
15,0.004555455
16,0.061458968
17,0.012335334
18,0.16578762
19,0.034746934
20,0.10726988
21,0.0005184865
22,0.17622362
23,0.048608504
24,0.0845354
25,0.40554368
26,0.26941484
27,0.21478714
28,0.033956688
29,0.17366022
30,0.15069772
31,0.55373275
32,0.2131631
33,0.20109306
34,0.026327113
35,0.147761
36,0.4161427
37,0.2777155
38,0.022912527
39,0.14978683
40,0.20991307
41,0.12571765
42,0.09498581
43,0.11043998
44,0.17481978
45,0.08221424
46,0.008971759
47,0.20149271
48,0.25224128
49,0.20731276
50,0.008597624
51,0.05208024
52,0.38418722
53,0.05376301
54,0.076492816
55,0.02215952
56,0.10037042
57,0.12725428
58,0.33184215
59,0.04802044
60,0.092578255
61,0.12712324
62,0.00019644601
63,0.13199231
64,0.018692302
65,0.13139875
66,0.13542108
67,0.17673983
68,0.12567377
69,0.0055129784
70,0.07281124
71,0.029707024
72,0.055646982
73,0.20744158
74,0.0025751223
75,0.33241445
76,0.004764374
77,0.2348774
78,0.047779646
79,0.16968097
80,0.15473925
81,0.10714492
82,0.073271796
83,0.14362244
84,0.31577137
85,0.17236958
86,0.09154824
87,0.09082536
88,0.14786063
89,0.25422272
90,0.46328452
91,0.33241445
92,0.20031124
93,0.25017405
94,0.21613953
95,0.018017631
96,0.22805533
97,0.0051354324
98,0.04617685
99,0.07037794
100,0.00022631875
101,0.09165176
102,0.24714418
103,0.003530077
104,0.03863974
105,0.30717304
106,0.11909392
107,0.09152144
108,0.14492105
109,0.39886698
110,0.31158906
111,0.0009926356
112,0.1842447
113,0.103433415
114,0.010772031
115,0.030881707
116,0.030875415
117,0.5813403
118,0.022057606
119,0.04796896
120,0.3151437
121,0.1351846
122,0.032491945
123,0.011725742
124,0.00017656089
125,0.10110028
126,0.1508785
127,0.07284161
128,0.046586238
129,0.038537223
130,0.23560897
131,0.33241445
132,0.0582994
133,0.035304572
134,0.039362855
135,0.037336286
136,8.730185e-05
137,0.01139126
138,0.11140133
139,0.00016650802
140,0.009288883
141,0.13554114
142,0.08233169
143,0.0779502
144,0.21959591
145,0.20811993
146,0.043069996
147,0.10267199
148,0.038621254
149,0.042551637
150,0.030350612
151,0.09183902
152,0.15262033
153,0.09885936
154,0.03689996
155,0.04174923
156,0.058391247
157,0.89997756
158,0.004747382
159,0.015884936
160,0.18509045
161,0.31907758
162,0.066166945
163,0.09454933
164,0.33901638
165,0.05755688
166,0.027403174
167,0.009944659
168,0.0015879278
169,0.3212371
170,0.07520337
171,0.37622172
172,0.022586953
173,0.007820196
174,0.00012774735
175,0.08637477
176,0.12628534
177,0.2519811
178,0.231079
179,0.14975649
180,0.050659172
181,0.042090226
182,0.27356124
183,0.031494148
184,0.0020307398
185,0.029823886
186,0.1803346
187,0.03500743
188,0.08196653
189,0.042467505
190,0.13333666
191,0.0016737697
192,0.12554082
193,0.010557159
194,0.07476123
195,0.06240206
196,0.06568438
197,0.079444095
198,0.42964247
199,0.24845034
200,0.14300603
201,0.0446987
202,0.31577137
203,0.16442683
204,0.09471171
205,0.064240165
206,0.17306773
207,0.1214757
208,0.25839308
209,0.14975649
210,0.018889453
211,0.64010274
212,0.14800733
213,0.15339239
214,0.18603681
215,0.11851871
216,0.025592918
217,0.04562785
218,0.00033193972
219,0.02958965
220,0.067596175
221,0.08469081
222,0.11850619
223,0.09572048
224,0.15372036
225,0.23233494
226,0.20771024
227,0.33058628
228,0.0017160049
229,0.02886961
230,0.09036845
231,0.0036542232
232,0.07343605
233,0.058646705
234,0.0010625562
235,0.00036164786
236,0.19439024
237,0.19149162
238,0.17221306
239,0.1409764
240,0.22175892
241,0.00054398534
242,0.00436255
243,0.0042490554
